"Ordem";"Data";"Natureza de Operação";"Departamento";"Conta";"Valor"
"1";"01/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 13111,25"
"2";"01/07/2024";"MENSALIDADES";"CLUBE";"BANCO DO BRASIL";"R$ 4873,75"
"3";"01/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 4955,00"
"4";"02/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 3216,28"
"5";"02/07/2024";"MENSALIDADES";"CLUBE";"CAIXA INTERNO";"R$ 650,00"
"6";"02/07/2024";"MENSALIDADES";"CLUBE";"DINHEIRO";"R$ 12514,00"
"7";"03/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 1669,43"
"8";"03/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 950,00"
"9";"03/07/2024";"MENSALIDADES";"CLUBE";"CAIXA INTERNO";"R$ 700,00"
"10";"04/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 2603,75"
"11";"04/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 150,00"
"12";"04/07/2024";"PATROCINIO TENIS";"CLUBE";".BANCO SICREDI";"R$ 315,00"
"13";"05/07/2024";"CONVITES DE VISTANTES";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 50,00"
"14";"05/07/2024";"ENTRADAS DIVERSAS";"CLUBE";".BANCO SICREDI";"R$ 71,38"
"15";"05/07/2024";"FUTEBOL";"CLUBE";".BANCO SICREDI";"R$ 200,00"
"16";"05/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 7953,70"
"17";"05/07/2024";"MENSALIDADES";"CLUBE";"BANCO DO BRASIL";"R$ 325,00"
"18";"05/07/2024";"MENSALIDADES";"CLUBE";"CHEQUE";"R$ 350,00"
"19";"05/07/2024";"PATROCINIO BEACH TENIS";"CLUBE";".BANCO SICREDI";"R$ 1181,12"
"20";"05/07/2024";"PATROCINIO TENIS";"CLUBE";".BANCO SICREDI";"R$ 310,00"
"21";"08/07/2024";"ALUGUEIS DE SALAO";"CLUBE";".BANCO SICREDI";"R$ 2500,00"
"22";"08/07/2024";"CONVITES DE VISTANTES";"CLUBE";".BANCO SICREDI";"R$ 200,00"
"23";"08/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 6661,75"
"24";"08/07/2024";"MENSALIDADES";"CLUBE";"BANCO DO BRASIL";"R$ 230,00"
"25";"08/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 260,00"
"26";"08/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE DÉBITO";"R$ 650,00"
"27";"08/07/2024";"MENSALIDADES";"CLUBE";"CHEQUE";"R$ 50,00"
"28";"09/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 2785,00"
"29";"10/07/2024";"CONVITES DE VISTANTES";"CLUBE";"CAIXA INTERNO";"R$ 100,00"
"30";"10/07/2024";"CONVITES DE VISTANTES";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 50,00"
"31";"10/07/2024";"ENTRADAS DIVERSAS";"CLUBE";"CAIXA INTERNO";"R$ 725,00"
"32";"10/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 14044,55"
"33";"10/07/2024";"MENSALIDADES";"CLUBE";"BANCO DO BRASIL";"R$ 2900,00"
"34";"10/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 1875,00"
"35";"10/07/2024";"MENSALIDADES";"CLUBE";"CAIXA INTERNO";"R$ 325,00"
"36";"10/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 200,00"
"37";"10/07/2024";"PATROCINIO BEACH TENIS";"CLUBE";".BANCO SICREDI";"R$ 4690,00"
"38";"10/07/2024";"PATROCINIO TENIS";"CLUBE";".BANCO SICREDI";"R$ 595,00"
"39";"11/07/2024";"ENTRADAS DIVERSAS";"CLUBE";".BANCO SICREDI";"R$ 300,00"
"40";"11/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 3642,93"
"41";"11/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 150,00"
"42";"11/07/2024";"RECREÇÃO";"CLUBE";".BANCO SICREDI";"R$ 175,00"
"43";"12/07/2024";"FUTEBOL";"CLUBE";".BANCO SICREDI";"R$ 200,00"
"44";"12/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 760,00"
"45";"12/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 200,00"
"46";"12/07/2024";"RECREÇÃO";"CLUBE";".BANCO SICREDI";"R$ 70,00"
"47";"12/07/2024";"RECREÇÃO";"CLUBE";"CAIXA INTERNO";"R$ 70,00"
"48";"12/07/2024";"RECREÇÃO";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 35,00"
"49";"15/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 9618,95"
"50";"15/07/2024";"MENSALIDADES";"CLUBE";"BANCO DO BRASIL";"R$ 580,00"
"51";"15/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 1000,00"
"52";"15/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE DÉBITO";"R$ 325,00"
"53";"15/07/2024";"PATROCINIO TENIS";"CLUBE";".BANCO SICREDI";"R$ 450,00"
"54";"15/07/2024";"RECREÇÃO";"CLUBE";".BANCO SICREDI";"R$ 210,00"
"55";"15/07/2024";"RECREÇÃO";"CLUBE";"CAIXA INTERNO";"R$ 105,00"
"56";"15/07/2024";"RECREÇÃO";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 35,00"
"57";"16/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 150,00"
"58";"16/07/2024";"PATROCINIO BEACH TENIS";"CLUBE";".BANCO SICREDI";"R$ 309,60"
"59";"16/07/2024";"RECREÇÃO";"CLUBE";".BANCO SICREDI";"R$ 70,00"
"60";"17/07/2024";"CONVITES DE VISTANTES";"CLUBE";".BANCO SICREDI";"R$ 50,00"
"61";"17/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 8099,07"
"62";"17/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 889,50"
"63";"17/07/2024";"PATROCINIO TENIS";"CLUBE";".BANCO SICREDI";"R$ 700,00"
"64";"17/07/2024";"RECREÇÃO";"CLUBE";".BANCO SICREDI";"R$ 175,00"
"65";"18/07/2024";"CONVITES DE VISTANTES";"CLUBE";".BANCO SICREDI";"R$ 50,00"
"66";"18/07/2024";"ENTRADAS DIVERSAS";"CLUBE";"BANCO SANTANDER";"R$ 350,00"
"67";"18/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 2251,50"
"68";"18/07/2024";"MENSALIDADES";"CLUBE";"BANCO DO BRASIL";"R$ 200,00"
"69";"18/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 260,00"
"70";"18/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 1300,00"
"71";"18/07/2024";"PATROCINIO BEACH TENIS";"CLUBE";".BANCO SICREDI";"R$ 650,00"
"72";"18/07/2024";"RECREÇÃO";"CLUBE";".BANCO SICREDI";"R$ 315,00"
"73";"19/07/2024";"CONVITES DE VISTANTES";"CLUBE";".BANCO SICREDI";"R$ 50,00"
"74";"19/07/2024";"CONVITES DE VISTANTES";"CLUBE";"CAIXA INTERNO";"R$ 75,00"
"75";"19/07/2024";"FUTEBOL";"CLUBE";".BANCO SICREDI";"R$ 200,00"
"76";"19/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 4479,24"
"77";"19/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE DÉBITO";"R$ 350,00"
"78";"19/07/2024";"PATROCINIO BEACH TENIS";"CLUBE";".BANCO SICREDI";"R$ 300,00"
"79";"19/07/2024";"RECREÇÃO";"CLUBE";".BANCO SICREDI";"R$ 210,00"
"80";"22/07/2024";"CONVITES DE VISTANTES";"CLUBE";".BANCO SICREDI";"R$ 50,00"
"81";"22/07/2024";"CONVITES DE VISTANTES";"CLUBE";"CARTÃO DE DÉBITO";"R$ 25,00"
"82";"22/07/2024";"ENTRADAS DIVERSAS";"CLUBE";".BANCO SICREDI";"R$ 300,00"
"83";"22/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 8716,25"
"84";"22/07/2024";"MENSALIDADES";"CLUBE";"BANCO DO BRASIL";"R$ 650,00"
"85";"22/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 1025,00"
"86";"22/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 325,00"
"87";"22/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE DÉBITO";"R$ 150,00"
"88";"22/07/2024";"PATROCINIO BEACH TENIS";"CLUBE";".BANCO SICREDI";"R$ 300,00"
"89";"22/07/2024";"RECREÇÃO";"CLUBE";".BANCO SICREDI";"R$ 1090,00"
"90";"22/07/2024";"RECREÇÃO";"CLUBE";"CAIXA INTERNO";"R$ 770,00"
"91";"22/07/2024";"RECREÇÃO";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 300,00"
"92";"22/07/2024";"RIFA DE DOAÇÃO";"CLUBE";"CAIXA INTERNO";"R$ 200,00"
"93";"23/07/2024";"CONVITES DE VISTANTES";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 50,00"
"94";"23/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 6314,73"
"95";"23/07/2024";"RIFA DE DOAÇÃO";"CLUBE";".BANCO SICREDI";"R$ 1000,00"
"96";"23/07/2024";"RIFA DE DOAÇÃO";"CLUBE";"CAIXA INTERNO";"R$ 200,00"
"97";"24/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 3870,00"
"98";"24/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE DÉBITO";"R$ 150,00"
"99";"24/07/2024";"RIFA DE DOAÇÃO";"CLUBE";".BANCO SICREDI";"R$ 3200,00"
"100";"25/07/2024";"ENTRADA DE EVENDOS";"CLUBE";".BANCO SICREDI";"R$ 1000,00"
"101";"25/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 4910,00"
"102";"25/07/2024";"MENSALIDADES";"CLUBE";"BANCO DO BRASIL";"R$ 325,00"
"103";"25/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 675,00"
"104";"25/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 617,50"
"105";"25/07/2024";"RIFA DE DOAÇÃO";"CLUBE";".BANCO SICREDI";"R$ 2600,00"
"106";"25/07/2024";"RIFA DE DOAÇÃO";"CLUBE";"BANCO SANTANDER";"R$ 200,00"
"107";"26/07/2024";"CONVITES DE VISTANTES";"CLUBE";"CAIXA INTERNO";"R$ 25,00"
"108";"26/07/2024";"FUTEBOL";"CLUBE";".BANCO SICREDI";"R$ 200,00"
"109";"26/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 2330,00"
"110";"26/07/2024";"PATROCINIO BEACH TENIS";"CLUBE";".BANCO SICREDI";"R$ 1180,00"
"111";"26/07/2024";"QUIOSQUE";"CLUBE";".BANCO SICREDI";"R$ 206,00"
"112";"26/07/2024";"RIFA DE DOAÇÃO";"CLUBE";".BANCO SICREDI";"R$ 1600,00"
"113";"29/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 4254,10"
"114";"29/07/2024";"MENSALIDADES";"CLUBE";"BANCO DO BRASIL";"R$ 325,00"
"115";"29/07/2024";"MENSALIDADES";"CLUBE";"CARTÃO DE CRÉDITO";"R$ 230,00"
"116";"29/07/2024";"QUIOSQUE";"CLUBE";".BANCO SICREDI";"R$ 94,00"
"117";"29/07/2024";"RIFA DE DOAÇÃO";"CLUBE";".BANCO SICREDI";"R$ 3400,00"
"118";"30/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 10196,75"
"119";"30/07/2024";"MENSALIDADES";"CLUBE";"BANCO DO BRASIL";"R$ 4523,75"
"120";"30/07/2024";"MENSALIDADES";"CLUBE";"BANCO SANTANDER";"R$ 4725,00"
"121";"30/07/2024";"MENSALIDADES";"CLUBE";"CHEQUE";"R$ 325,00"
"122";"30/07/2024";"RIFA DE DOAÇÃO";"CLUBE";".BANCO SICREDI";"R$ 1800,00"
"123";"30/07/2024";"RIFA DE DOAÇÃO";"CLUBE";"CAIXA INTERNO";"R$ 400,00"
"124";"31/07/2024";"CONVITES DE VISTANTES";"CLUBE";".BANCO SICREDI";"R$ 30,00"
"125";"31/07/2024";"MENSALIDADES";"CLUBE";".BANCO SICREDI";"R$ 6171,01"
"126";"31/07/2024";"MENSALIDADES";"CLUBE";"CAIXA INTERNO";"R$ 350,00"
"127";"31/07/2024";"PATROCINIO BEACH TENIS";"CLUBE";".BANCO SICREDI";"R$ 675,84"
"128";"31/07/2024";"PATROCINIO TENIS";"CLUBE";".BANCO SICREDI";"R$ 500,00"
"129";"31/07/2024";"RIFA DE DOAÇÃO";"CLUBE";".BANCO SICREDI";"R$ 1000,00"
